Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,Admission
153,321,112,5,5.0,5.0,9.06,1,0.86,1.0
367,320,104,3,3.5,4.5,8.34,1,0.74,1.0
40,307,108,2,4.0,3.5,7.7,0,0.48,0.0
42,316,105,2,2.5,2.5,8.2,1,0.49,0.0
335,312,107,4,4.5,4.0,8.65,1,0.73,1.0
163,318,109,3,3.0,3.0,8.5,0,0.67,0.0
254,335,115,4,4.5,4.5,9.68,1,0.93,1.0
438,317,106,1,1.5,3.5,7.65,1,0.61,0.0
346,316,98,1,1.5,2.0,7.43,0,0.49,0.0
197,306,105,2,3.0,2.5,8.26,0,0.73,1.0
345,295,96,2,1.5,2.0,7.34,0,0.47,0.0
337,319,110,3,3.0,2.5,8.79,0,0.72,0.0
255,321,114,4,4.0,5.0,9.12,0,0.85,1.0
178,319,110,3,3.5,3.5,9.04,0,0.82,1.0
446,328,116,5,4.5,5.0,9.08,1,0.91,1.0
441,305,104,2,2.5,1.5,7.79,0,0.53,0.0
413,314,102,4,2.5,2.0,7.88,1,0.59,0.0
381,322,104,3,3.5,4.0,8.84,1,0.78,1.0
498,330,120,5,4.5,5.0,9.56,1,0.93,1.0
428,310,101,3,3.5,5.0,8.65,1,0.71,0.0
248,311,104,2,2.5,3.5,8.48,0,0.71,0.0
236,326,111,5,4.5,4.0,9.23,1,0.88,1.0
270,308,108,4,4.5,5.0,8.34,0,0.77,1.0
206,295,99,2,2.5,3.0,7.65,0,0.57,0.0
46,322,110,5,5.0,4.0,9.1,1,0.88,1.0
324,305,102,2,2.0,2.5,8.18,0,0.62,0.0
142,332,118,2,4.5,3.5,9.36,1,0.9,1.0
456,305,102,2,1.5,2.5,7.64,0,0.59,0.0
320,327,113,4,3.5,3.0,8.69,1,0.8,1.0
144,340,120,4,4.5,4.0,9.92,1,0.97,1.0
353,303,100,2,3.0,3.5,8.06,1,0.64,0.0
370,301,98,1,2.0,3.0,8.03,1,0.67,0.0
256,307,110,4,4.0,4.5,8.37,0,0.79,1.0
318,300,99,1,1.0,2.5,8.01,0,0.58,0.0
405,311,101,3,2.0,2.5,7.64,1,0.62,0.0
38,300,105,1,1.0,2.0,7.8,0,0.58,0.0
101,322,107,3,3.5,3.5,8.46,1,0.71,0.0
454,319,103,3,2.5,4.0,8.76,1,0.73,1.0
284,321,111,3,2.5,3.0,8.9,1,0.8,1.0
124,308,108,3,3.5,3.5,8.22,0,0.61,0.0
138,316,100,2,1.5,3.0,8.16,1,0.71,0.0
20,303,102,3,3.5,3.0,8.5,0,0.62,0.0
475,308,105,4,3.0,2.5,7.95,1,0.67,0.0
216,330,116,5,5.0,4.5,9.36,1,0.93,1.0
417,315,104,3,4.0,2.5,8.1,0,0.65,0.0
17,317,107,3,4.0,3.0,8.7,0,0.66,0.0
78,301,99,2,3.0,2.0,8.22,0,0.64,0.0
125,301,106,4,2.5,3.0,8.47,0,0.57,0.0
352,325,110,4,3.5,4.0,8.67,1,0.73,1.0
22,325,114,4,3.0,2.0,8.4,0,0.7,0.0
491,307,105,2,2.5,4.5,8.12,1,0.67,0.0
341,312,107,3,3.0,3.0,8.46,1,0.75,1.0
208,310,102,3,3.5,4.0,8.02,1,0.66,0.0
303,322,105,2,3.0,3.0,8.45,1,0.65,0.0
312,328,108,4,4.5,4.0,9.18,1,0.84,1.0
12,327,111,4,4.0,4.5,9.0,1,0.84,1.0
401,304,100,2,3.5,3.0,8.22,0,0.63,0.0
275,315,100,1,2.0,2.5,7.95,0,0.58,0.0
432,320,112,2,3.5,3.5,8.78,1,0.73,1.0
14,307,109,3,4.0,3.0,8.0,1,0.62,0.0
156,312,109,3,3.0,3.0,8.69,0,0.77,1.0
128,319,112,3,2.5,2.0,8.71,1,0.78,1.0
52,312,100,2,1.5,3.5,7.9,1,0.56,0.0
338,332,118,5,5.0,5.0,9.47,1,0.94,1.0
469,323,110,4,4.0,5.0,8.88,1,0.81,1.0
18,319,106,3,4.0,3.0,8.0,1,0.65,0.0
41,308,110,3,3.5,3.0,8.0,1,0.46,0.0
366,330,114,4,4.5,3.0,9.17,1,0.86,1.0
187,317,107,3,3.5,3.0,8.68,1,0.84,1.0
